subject,lottery,z1,z2,p1,ce,female,semester,highincome
69,6,87.46355685131195,0.0,0.5,15.306122448979592,0,6,0
69,7,29.15451895043732,11.661807580174926,0.5,22.59475218658892,0,6,0
69,8,11.661807580174926,0.0,0.95,10.20408163265306,0,6,0
69,9,-5.830903790087463,0.0,0.1,-4.810495626822157,0,6,0
69,10,29.15451895043732,11.661807580174926,0.25,17.346938775510203,0,6,0
69,11,29.15451895043732,11.661807580174926,0.75,25.21865889212828,0,6,0
69,12,23.323615160349853,5.830903790087463,0.25,8.892128279883382,0,6,0
69,13,-11.661807580174926,-5.830903790087463,0.9,-10.349854227405247,0,6,0
69,27,23.323615160349853,5.830903790087463,0.75,18.513119533527696,0,6,0
69,28,29.15451895043732,0.0,0.5,9.475218658892128,0,6,0
69,29,11.661807580174926,0.0,0.05,2.0408163265306123,0,6,0
69,30,11.661807580174926,5.830903790087463,0.1,7.142857142857142,0,6,0
69,31,-11.661807580174926,-5.830903790087463,0.1,-10.349854227405247,0,6,0
69,44,29.15451895043732,0.0,0.1,3.6443148688046647,0,6,0
69,45,-23.323615160349853,-5.830903790087463,0.05,-22.01166180758017,0,6,0
69,46,-87.46355685131195,0.0,0.5,-54.664723032069965,0,6,0
69,22,-11.661807580174926,0.0,0.75,-3.206997084548105,0,6,0
69,23,11.661807580174926,5.830903790087463,0.9,10.932944606413994,0,6,0
69,24,-29.15451895043732,0.0,0.5,-18.221574344023324,0,6,0
69,25,-29.15451895043732,-11.661807580174926,0.5,-18.221574344023324,0,6,0
69,26,5.830903790087463,0.0,0.9,5.830903790087463,0,6,0
69,43,-29.15451895043732,-11.661807580174926,0.75,-17.346938775510203,0,6,0
69,48,-23.323615160349853,-5.830903790087463,0.95,-7.142857142857142,0,6,0
69,49,11.661807580174926,0.0,0.75,8.454810495626822,0,6,0
69,42,5.830903790087463,0.0,0.5,4.518950437317784,0,6,0
69,47,-5.830903790087463,0.0,0.9,0.0,0,6,0
69,50,-29.15451895043732,-11.661807580174926,0.25,-25.21865889212828,0,6,0
70,4,11.661807580174926,5.830903790087463,0.5,6.122448979591836,1,4,1
70,2,29.15451895043732,0.0,0.9,26.96793002915452,1,4,1
70,7,29.15451895043732,11.661807580174926,0.5,15.597667638483964,1,4,1
70,8,11.661807580174926,0.0,0.95,10.787172011661808,1,4,1
70,9,-5.830903790087463,0.0,0.1,-5.1020408163265305,1,4,1
70,26,5.830903790087463,0.0,0.9,5.1020408163265305,1,4,1
70,27,23.323615160349853,5.830903790087463,0.75,18.513119533527696,1,4,1
70,28,29.15451895043732,0.0,0.5,16.76384839650146,1,4,1
70,29,11.661807580174926,0.0,0.05,0.8746355685131195,1,4,1
70,5,23.323615160349853,5.830903790087463,0.05,6.705539358600583,1,4,1
70,6,87.46355685131195,0.0,0.5,45.91836734693877,1,4,1
70,19,-29.15451895043732,0.0,0.9,-9.475218658892128,1,4,1
70,20,11.661807580174926,0.0,0.25,4.373177842565598,1,4,1
70,21,-23.323615160349853,-5.830903790087463,0.25,-19.387755102040817,1,4,1
70,22,-11.661807580174926,0.0,0.75,-4.956268221574343,1,4,1
70,23,11.661807580174926,5.830903790087463,0.9,10.932944606413994,1,4,1
70,24,-29.15451895043732,0.0,0.5,-15.306122448979592,1,4,1
70,25,-29.15451895043732,-11.661807580174926,0.5,-21.7201166180758,1,4,1
70,1,5.830903790087463,0.0,0.1,0.2915451895043731,1,4,1
70,42,5.830903790087463,0.0,0.5,3.061224489795918,1,4,1
70,43,-29.15451895043732,-11.661807580174926,0.75,-17.346938775510203,1,4,1
70,44,29.15451895043732,0.0,0.1,5.1020408163265305,1,4,1
70,45,-23.323615160349853,-5.830903790087463,0.05,-21.13702623906705,1,4,1
70,46,-87.46355685131195,0.0,0.5,-41.54518950437318,1,4,1
70,47,-5.830903790087463,0.0,0.9,-1.020408163265306,1,4,1
70,48,-23.323615160349853,-5.830903790087463,0.95,-10.64139941690962,1,4,1
70,49,11.661807580174926,0.0,0.75,4.956268221574343,1,4,1
70,50,-29.15451895043732,-11.661807580174926,0.25,-24.34402332361516,1,4,1
70,10,29.15451895043732,11.661807580174926,0.25,16.472303206997083,1,4,1
70,11,29.15451895043732,11.661807580174926,0.75,23.46938775510204,1,4,1
70,12,23.323615160349853,5.830903790087463,0.25,11.51603498542274,1,4,1
70,13,-11.661807580174926,-5.830903790087463,0.9,-6.559766763848396,1,4,1
70,14,-11.661807580174926,0.0,0.05,-10.787172011661808,1,4,1
70,15,-29.15451895043732,-11.661807580174926,0.95,-19.97084548104956,1,4,1
70,16,29.15451895043732,11.661807580174926,0.95,27.84256559766764,1,4,1
70,17,29.15451895043732,11.661807580174926,0.05,15.597667638483964,1,4,1
70,18,-11.661807580174926,0.0,0.25,-7.871720116618075,1,4,1
70,32,-5.830903790087463,0.0,0.5,-2.478134110787172,1,4,1
70,33,-11.661807580174926,0.0,0.95,0.0,1,4,1
70,34,-11.661807580174926,-5.830903790087463,0.5,-8.309037900874635,1,4,1
70,35,23.323615160349853,5.830903790087463,0.95,22.01166180758017,1,4,1
70,36,-23.323615160349853,-5.830903790087463,0.5,-15.014577259475216,1,4,1
70,37,87.46355685131195,29.15451895043732,0.05,39.35860058309038,1,4,1
70,38,-23.323615160349853,-5.830903790087463,0.75,-18.513119533527696,1,4,1
70,39,23.323615160349853,5.830903790087463,0.5,15.014577259475216,1,4,1
70,40,-29.15451895043732,0.0,0.1,-24.052478134110785,1,4,1
70,41,-29.15451895043732,-11.661807580174926,0.05,-26.96793002915452,1,4,1
70,30,11.661807580174926,5.830903790087463,0.1,6.559766763848396,1,4,1
70,31,-11.661807580174926,-5.830903790087463,0.1,-10.64139941690962,1,4,1
71,20,11.661807580174926,0.0,0.25,0.5830903790087463,0,2,0
71,10,29.15451895043732,11.661807580174926,0.25,29.15451895043732,0,2,0
71,11,29.15451895043732,11.661807580174926,0.75,29.15451895043732,0,2,0
71,12,23.323615160349853,5.830903790087463,0.25,23.323615160349853,0,2,0
71,13,-11.661807580174926,-5.830903790087463,0.9,-8.892128279883382,0,2,0
71,14,-11.661807580174926,0.0,0.05,0.0,0,2,0
71,15,-29.15451895043732,-11.661807580174926,0.95,-28.2798833819242,0,2,0
71,16,29.15451895043732,11.661807580174926,0.95,29.15451895043732,0,2,0
71,17,29.15451895043732,11.661807580174926,0.05,29.15451895043732,0,2,0
71,18,-11.661807580174926,0.0,0.25,-11.07871720116618,0,2,0
71,19,-29.15451895043732,0.0,0.9,0.0,0,2,0
71,33,-11.661807580174926,0.0,0.95,0.0,0,2,0
71,34,-11.661807580174926,-5.830903790087463,0.5,-7.434402332361516,0,2,0
71,35,23.323615160349853,5.830903790087463,0.95,23.323615160349853,0,2,0
71,36,-23.323615160349853,-5.830903790087463,0.5,-11.51603498542274,0,2,0
71,37,87.46355685131195,29.15451895043732,0.05,87.46355685131195,0,2,0
71,38,-23.323615160349853,-5.830903790087463,0.75,-5.830903790087463,0,2,0
71,39,23.323615160349853,5.830903790087463,0.5,17.638483965014576,0,2,0
71,40,-29.15451895043732,0.0,0.1,-27.69679300291545,0,2,0
71,41,-29.15451895043732,-11.661807580174926,0.05,-21.7201166180758,0,2,0
71,42,5.830903790087463,0.0,0.5,0.2915451895043731,0,2,0
71,43,-29.15451895043732,-11.661807580174926,0.75,-13.848396501457726,0,2,0
71,44,29.15451895043732,0.0,0.1,1.4577259475218658,0,2,0
71,45,-23.323615160349853,-5.830903790087463,0.05,-22.44897959183673,0,2,0
71,46,-87.46355685131195,0.0,0.5,-41.54518950437318,0,2,0
71,47,-5.830903790087463,0.0,0.9,0.0,0,2,0
71,48,-23.323615160349853,-5.830903790087463,0.95,-5.830903790087463,0,2,0
71,49,11.661807580174926,0.0,0.75,11.661807580174926,0,2,0
71,50,-29.15451895043732,-11.661807580174926,0.25,-28.2798833819242,0,2,0
71,24,-29.15451895043732,0.0,0.5,-6.559766763848396,0,2,0
71,25,-29.15451895043732,-11.661807580174926,0.5,-11.661807580174926,0,2,0
71,26,5.830903790087463,0.0,0.9,5.830903790087463,0,2,0
71,27,23.323615160349853,5.830903790087463,0.75,23.323615160349853,0,2,0
71,28,29.15451895043732,0.0,0.5,22.59475218658892,0,2,0
71,29,11.661807580174926,0.0,0.05,0.5830903790087463,0,2,0
71,30,11.661807580174926,5.830903790087463,0.1,6.122448979591836,0,2,0
71,31,-11.661807580174926,-5.830903790087463,0.1,-11.370262390670554,0,2,0
71,32,-5.830903790087463,0.0,0.5,-1.020408163265306,0,2,0
71,5,23.323615160349853,5.830903790087463,0.05,23.323615160349853,0,2,0
71,21,-23.323615160349853,-5.830903790087463,0.25,-22.44897959183673,0,2,0
71,22,-11.661807580174926,0.0,0.75,0.0,0,2,0
71,23,11.661807580174926,5.830903790087463,0.9,11.661807580174926,0,2,0
71,9,-5.830903790087463,0.0,0.1,-4.227405247813411,0,2,0
71,1,5.830903790087463,0.0,0.1,5.830903790087463,0,2,0
71,2,29.15451895043732,0.0,0.9,29.15451895043732,0,2,0
71,3,-87.46355685131195,-29.15451895043732,0.05,-77.25947521865889,0,2,0
71,6,87.46355685131195,0.0,0.5,87.46355685131195,0,2,0
71,7,29.15451895043732,11.661807580174926,0.5,29.15451895043732,0,2,0
71,4,11.661807580174926,5.830903790087463,0.5,11.661807580174926,0,2,0
71,8,11.661807580174926,0.0,0.95,11.661807580174926,0,2,0
72,14,-11.661807580174926,0.0,0.05,-6.705539358600583,1,4,1
72,15,-29.15451895043732,-11.661807580174926,0.95,-11.661807580174926,1,4,1
72,16,29.15451895043732,11.661807580174926,0.95,29.15451895043732,1,4,1
72,8,11.661807580174926,0.0,0.95,10.787172011661808,1,4,1
72,9,-5.830903790087463,0.0,0.1,-2.769679300291545,1,4,1
72,27,23.323615160349853,5.830903790087463,0.75,20.26239067055393,1,4,1
72,28,29.15451895043732,0.0,0.5,15.306122448979592,1,4,1
72,29,11.661807580174926,0.0,0.05,3.206997084548105,1,4,1
72,30,11.661807580174926,5.830903790087463,0.1,8.309037900874635,1,4,1
72,31,-11.661807580174926,-5.830903790087463,0.1,-8.600583090379008,1,4,1
72,32,-5.830903790087463,0.0,0.5,-0.7288629737609329,1,4,1
72,33,-11.661807580174926,0.0,0.95,0.0,1,4,1
72,34,-11.661807580174926,-5.830903790087463,0.5,-6.559766763848396,1,4,1
72,35,23.323615160349853,5.830903790087463,0.95,23.323615160349853,1,4,1
72,10,29.15451895043732,11.661807580174926,0.25,20.84548104956268,1,4,1
72,11,29.15451895043732,11.661807580174926,0.75,26.96793002915452,1,4,1
72,12,23.323615160349853,5.830903790087463,0.25,15.014577259475216,1,4,1
72,13,-11.661807580174926,-5.830903790087463,0.9,-6.559766763848396,1,4,1
72,1,5.830903790087463,0.0,0.1,4.518950437317784,1,4,1
72,2,29.15451895043732,0.0,0.9,13.848396501457726,1,4,1
72,3,-87.46355685131195,-29.15451895043732,0.05,-71.42857142857143,1,4,1
72,4,11.661807580174926,5.830903790087463,0.5,10.932944606413994,1,4,1
72,5,23.323615160349853,5.830903790087463,0.05,14.1399416909621,1,4,1
72,6,87.46355685131195,0.0,0.5,59.03790087463557,1,4,1
72,7,29.15451895043732,11.661807580174926,0.5,21.7201166180758,1,4,1
72,46,-87.46355685131195,0.0,0.5,-41.54518950437318,1,4,1
72,47,-5.830903790087463,0.0,0.9,-0.7288629737609329,1,4,1
72,48,-23.323615160349853,-5.830903790087463,0.95,-8.892128279883382,1,4,1
72,49,11.661807580174926,0.0,0.75,9.037900874635568,1,4,1
72,50,-29.15451895043732,-11.661807580174926,0.25,-22.59475218658892,1,4,1
72,26,5.830903790087463,0.0,0.9,5.830903790087463,1,4,1
72,38,-23.323615160349853,-5.830903790087463,0.75,-9.7667638483965,1,4,1
72,39,23.323615160349853,5.830903790087463,0.5,18.513119533527696,1,4,1
72,40,-29.15451895043732,0.0,0.1,-22.59475218658892,1,4,1
72,17,29.15451895043732,11.661807580174926,0.05,18.221574344023324,1,4,1
72,18,-11.661807580174926,0.0,0.25,-4.373177842565598,1,4,1
72,19,-29.15451895043732,0.0,0.9,-6.559766763848396,1,4,1
72,20,11.661807580174926,0.0,0.25,5.53935860058309,1,4,1
72,21,-23.323615160349853,-5.830903790087463,0.25,-15.014577259475216,1,4,1
72,22,-11.661807580174926,0.0,0.75,-2.0408163265306123,1,4,1
72,23,11.661807580174926,5.830903790087463,0.9,10.932944606413994,1,4,1
72,24,-29.15451895043732,0.0,0.5,-13.848396501457726,1,4,1
72,25,-29.15451895043732,-11.661807580174926,0.5,-19.09620991253644,1,4,1
72,37,87.46355685131195,29.15451895043732,0.05,45.18950437317784,1,4,1
72,42,5.830903790087463,0.0,0.5,5.393586005830904,1,4,1
