subject,z1,z2,p1,ce
5,10.0,0.0,0.5,5.0
5,15.0,0.0,0.5,7.5
5,20.0,0.0,0.5,10.1
5,25.0,0.0,0.5,12.5
5,28.0,0.0,0.5,14.0
5,10.0,0.0,0.25,2.3
5,15.0,0.0,0.25,3.8
5,20.0,0.0,0.25,5.0
5,15.0,0.0,0.75,11.3
5,20.0,0.0,0.9,18.0
5,10.0,0.0,0.18,1.8
5,20.0,0.0,0.09,1.8
5,20.0,0.0,0.75,16.1
5,20.0,0.0,0.18,3.6
5,10.0,0.0,0.1763999999999999,4.2
5,10.0,0.0,0.18,4.5
5,10.0,0.0,0.18,5.5
5,10.0,0.0,0.1763999999999999,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.175616,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.175616,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.18,1.8
5,20.0,0.0,0.09,1.8
5,10.0,0.0,0.1763999999999999,4.2
5,10.0,0.0,0.18,1.8
5,10.0,0.0,0.175616,5.6
5,10.0,0.0,0.18,1.8
6,2.0,0.0,0.5,1.0
6,5.0,0.0,0.5,2.5
6,10.0,0.0,0.5,5.0
6,15.0,0.0,0.5,7.5
6,20.0,0.0,0.5,10.1
6,25.0,0.0,0.5,12.5
6,28.0,0.0,0.5,14.0
6,10.0,0.0,0.25,2.5
6,15.0,0.0,0.25,3.3
6,20.0,0.0,0.25,5.0
6,15.0,0.0,0.75,11.2
6,20.0,0.0,0.9,20.1
6,10.0,0.0,0.18,1.8
6,20.0,0.0,0.09,1.8
6,20.0,0.0,0.75,15.0
6,20.0,0.0,0.18,3.6
6,10.0,0.0,0.1763999999999999,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.1763999999999999,1.7
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.175616,2.1
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.175616,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.18,1.8
6,20.0,0.0,0.09,1.8
6,10.0,0.0,0.1763999999999999,2.1
6,10.0,0.0,0.18,1.8
6,10.0,0.0,0.175616,1.8
6,10.0,0.0,0.18,1.8
7,2.0,0.0,0.5,2.1
7,5.0,0.0,0.5,4.0
7,10.0,0.0,0.5,5.0
7,15.0,0.0,0.5,7.5
7,20.0,0.0,0.5,13.0
7,25.0,0.0,0.5,12.5
7,28.0,0.0,0.5,14.1
7,10.0,0.0,0.25,2.5
